abstract,title,journal,year,doi,authors,referenced_works,L1,L2,L1_label,L2_label
jatspasthma is a common chronic health condition affecting millions of people in the united states while asthma cannot be cured it can be managed if we identify and understand triggers and risk factors that cause asthma exacerbations however this is challenging because these triggers and risk factors are complex and interconnected and there are limitations to current mainstream approaches for identifying them the recent availability of massive amounts of heterogeneous data has opened up new possibilities for asthma triggers and risk factors analyses in this study we introduce a datadriven framework adapt and integrate multiple advanced machine learning techniques and perform an empirical analysis to 1 derive characteristics of selfreported asthma patients from social media 2 enable integration and repurposing of highly heterogeneous and commonly available datasets and 3 uncover the sequential patterns of asthma triggers and risk factors and their relative importance both of which are difficult to achieve via retrospective cohortbased studies our methods and results can provide guidance for developing asthma management plans and interventions for specific subpopulations and eventually have the potential to reduce the societal burden of asthmajatsp,A Comprehensive Analysis of Triggers and Risk Factors for Asthma Based on Machine Learning and Large Heterogeneous Data Sources,MIS Quarterly,2020.0,10.25300/misq/2020/15106,"[{'affiliation': array(['Iowa State University'], dtype=object), 'family': 'Zhang', 'given': 'Wenli', 'sequence': 'first'}
 {'affiliation': array([], dtype=object), 'family': 'Ram', 'given': 'Sudha', 'sequence': 'additional'}]",,1,2,"analysis, approach, behavioral, cognitive, design, development, form, integration, management, model","analysis, new, technology, provide, integration, management, social, empirical"
jatsprecent initiatives to improve healthcare quality and reduce costs have centered around payment mechanisms and itenabled health information exchanges hies such initiatives profoundly influence both providers’ choices in terms of healthcare effort levels and hie adoption and patients’ choice of providers using a gametheoretical model of a healthcare setup we examine the role of payment models in aligning providers’ and patients’ incentives for realizing socially optimal ie firstbest choices we show that the traditional feeforservice ffs payment model does not necessarily induce the firstbest solution the payforperformance p4p model may induce the firstbest solution under some conditions if provider switching by patients during a health episode is socially suboptimal making provider coordination less of an issue we identify an episodebased payment ebp model that can always induce the firstbest solution the proposed ebp model reduces to the p4p model if the p4p model induces the firstbest solution in other cases the firstbest inducing ebp model is multilateral in the sense that the payment to a provider depends not only on the provider’s own efforts and outcomes but also on those of other providers furthermore the payment in this ebp model is sequence dependent in the sense that payment to a provider is contingent upon whether the patient visits a given provider first or second we show that the proposed ebp model achieves the lowest healthcare cost not necessarily at the expense of care quality or provider payment relative to ffs and p4p although our proposed contract is complex it sets an optimality baseline when evaluating simpler contracts and also characterizes aspects of payment that need to be captured for socially desirable actions we further show that the value of hies depends critically on the payment model as well as on the social desirability of patient switching under all three payment models the hie value is higher when switching by at least some patients is desirable than when switching by any patient is undesirable moreover the hie value is highest under the ffs model and lowest under the p4p model hence assessing the value of hies in isolation from the underlying payment mechanism and patientswitching behavior may result in under or overestimation of the hie value therefore as payment models evolve over time there is a real need to reevaluate the hie value and the government subsidies that induce providers to adopt hiesjatsp,Designing Payment Contracts for Healthcare Services to Induce Information Sharing: The Adoption and the Value of Health Information Exchanges (HIEs),MIS Quarterly,2021.0,10.25300/misq/2021/14809,"[{'affiliation': array([], dtype=object), 'family': 'Ayvaci', 'given': 'Mehmet', 'sequence': 'first'}
 {'affiliation': array([], dtype=object), 'family': 'Cavusoglu', 'given': 'Huseyin', 'sequence': 'additional'}
 {'affiliation': array([], dtype=object), 'family': 'Kim', 'given': 'Yeongin', 'sequence': 'additional'}
 {'affiliation': array([], dtype=object), 'family': 'Raghunathan', 'given': 'Srinivasan', 'sequence': 'additional'}]","['https://openalex.org/W1481773499' 'https://openalex.org/W1487531252'
 'https://openalex.org/W1511562480' 'https://openalex.org/W1522834024'
 'https://openalex.org/W1526266515' 'https://openalex.org/W1579573483'
 'https://openalex.org/W1587010827' 'https://openalex.org/W1909247968'
 'https://openalex.org/W1964364842' 'https://openalex.org/W1967834969'
 'https://openalex.org/W1971367971' 'https://openalex.org/W1972813077'
 'https://openalex.org/W1973680365' 'https://openalex.org/W1979076383'
 'https://openalex.org/W1979373091' 'https://openalex.org/W1979431113'
 'https://openalex.org/W1992979893' 'https://openalex.org/W2002895077'
 'https://openalex.org/W2006666421' 'https://openalex.org/W2006799672'
 'https://openalex.org/W2007445672' 'https://openalex.org/W2016875621'
 'https://openalex.org/W2020958128' 'https://openalex.org/W2023248478'
 'https://openalex.org/W2024449779' 'https://openalex.org/W2024958328'
 'https://openalex.org/W2025166612' 'https://openalex.org/W2025961465'
 'https://openalex.org/W2026242899' 'https://openalex.org/W2030436945'
 'https://openalex.org/W2035946249' 'https://openalex.org/W2046321604'
 'https://openalex.org/W2049746561' 'https://openalex.org/W2051374075'
 'https://openalex.org/W2068402150' 'https://openalex.org/W2071615130'
 'https://openalex.org/W2073199538' 'https://openalex.org/W2075796489'
 'https://openalex.org/W2080481385' 'https://openalex.org/W2087821301'
 'https://openalex.org/W2095641105' 'https://openalex.org/W2096830520'
 'https://openalex.org/W2101994403' 'https://openalex.org/W2102748455'
 'https://openalex.org/W2103946942' 'https://openalex.org/W2108310467'
 'https://openalex.org/W2111142633' 'https://openalex.org/W2123143272'
 'https://openalex.org/W2124690939' 'https://openalex.org/W2124874878'
 'https://openalex.org/W2129193300' 'https://openalex.org/W2131951904'
 'https://openalex.org/W2139828324' 'https://openalex.org/W2141847884'
 'https://openalex.org/W2141954228' 'https://openalex.org/W2145678224'
 'https://openalex.org/W2149011802' 'https://openalex.org/W2152562887'
 'https://openalex.org/W2161684748' 'https://openalex.org/W2162230562'
 'https://openalex.org/W2163198930' 'https://openalex.org/W2169855821'
 'https://openalex.org/W2199285561' 'https://openalex.org/W2260493836'
 'https://openalex.org/W2280059995' 'https://openalex.org/W2293994407'
 'https://openalex.org/W2346962556' 'https://openalex.org/W2523426716'
 'https://openalex.org/W2525073621' 'https://openalex.org/W2778716829'
 'https://openalex.org/W3044016997' 'https://openalex.org/W3121292198'
 'https://openalex.org/W3121389983' 'https://openalex.org/W3122399607'
 'https://openalex.org/W3122717674' 'https://openalex.org/W3123461939'
 'https://openalex.org/W3123902523' 'https://openalex.org/W3124635164'
 'https://openalex.org/W3124890848' 'https://openalex.org/W3125765331'
 'https://openalex.org/W3126057479' 'https://openalex.org/W3133555679'
 'https://openalex.org/W3144631866' 'https://openalex.org/W4230970832'
 'https://openalex.org/W4327766583' 'https://openalex.org/W77047371']",1,5,"analysis, approach, behavioral, cognitive, design, development, form, integration, management, model","online, significant, model, integration, role, experiment, behavior, value"
jatspsoftware design is a knowledge intensive task that constitutes a critical part of the software development process using a controlled experiment involving software practitioners this research examines two potentially useful mechanisms for improving the software design process specifically this study examines the impact of structural distribution of cognition through design patterns and social distribution of cognition through collaborating pairs on design outcomes the results indicate that the use of design patterns as external cognitive artifacts improves design quality reduces time taken to solve a design problem and leads to higher participant satisfaction collaborating pairs of software designers were compared to participants working alone but whose efforts were conjointly considered as the best and secondbest members of nominal pairs it was found that paired designers produced higher quality designs compared with the secondbest members of nominal pairs did not differ from the best member of a nominal pair but took more time to complete a design task than either member of a nominal pair the results also indicate that the availability of design patterns raises the performance level of the secondbest member of a nominal pair in terms of quality and reduces task completion time when compared with a pair not using design patterns finally paired designers were found to experience higher levels of task satisfaction when compared with individuals implications for research and practice are discussedjatsp,Distributed Cognition in Software Design: An Experimental Investigation of the Role of Design Patterns and Collaboration1,MIS Quarterly,2014.0,10.25300/misq/2014/38.1.12,"[{'affiliation': array(['Western Illinois University'], dtype=object), 'family': 'Mangalaraj', 'given': 'George', 'sequence': 'first'}
 {'affiliation': array(['The University of Texas at Arlington'], dtype=object), 'family': 'Nerur', 'given': 'Sridhar', 'sequence': 'additional'}
 {'affiliation': array(['The University of Texas at Arlington'], dtype=object), 'family': 'Mahapatra', 'given': 'RadhaKanta', 'sequence': 'additional'}
 {'affiliation': array(['The University of Texas at Arlington'], dtype=object), 'family': 'Price', 'given': 'Kenneth H.', 'sequence': 'additional'}]","['https://openalex.org/W1487426945' 'https://openalex.org/W1493688518'
 'https://openalex.org/W1506532831' 'https://openalex.org/W1571750337'
 'https://openalex.org/W1577577474' 'https://openalex.org/W1649645444'
 'https://openalex.org/W195192084' 'https://openalex.org/W1963547174'
 'https://openalex.org/W1968044930' 'https://openalex.org/W1969887627'
 'https://openalex.org/W1971349071' 'https://openalex.org/W1975273460'
 'https://openalex.org/W1976518102' 'https://openalex.org/W1985968022'
 'https://openalex.org/W1996140912' 'https://openalex.org/W1997783710'
 'https://openalex.org/W1998204765' 'https://openalex.org/W2000042013'
 'https://openalex.org/W2016540947' 'https://openalex.org/W2017057777'
 'https://openalex.org/W2020509101' 'https://openalex.org/W2021115106'
 'https://openalex.org/W2021352015' 'https://openalex.org/W2027634772'
 'https://openalex.org/W2028985814' 'https://openalex.org/W2029057170'
 'https://openalex.org/W2030890540' 'https://openalex.org/W2039424656'
 'https://openalex.org/W2040918468' 'https://openalex.org/W2042623444'
 'https://openalex.org/W2044744663' 'https://openalex.org/W2049329210'
 'https://openalex.org/W2051098322' 'https://openalex.org/W2052574647'
 'https://openalex.org/W2053408677' 'https://openalex.org/W2053953740'
 'https://openalex.org/W2058228122' 'https://openalex.org/W2060642394'
 'https://openalex.org/W2067724039' 'https://openalex.org/W2070038948'
 'https://openalex.org/W2073081317' 'https://openalex.org/W2074296222'
 'https://openalex.org/W2074442900' 'https://openalex.org/W2081277739'
 'https://openalex.org/W2081712677' 'https://openalex.org/W2084710723'
 'https://openalex.org/W2087026538' 'https://openalex.org/W2095989637'
 'https://openalex.org/W2096422467' 'https://openalex.org/W2097665890'
 'https://openalex.org/W2099368486' 'https://openalex.org/W2100757236'
 'https://openalex.org/W2103145020' 'https://openalex.org/W2110148728'
 'https://openalex.org/W2112409390' 'https://openalex.org/W2115608608'
 'https://openalex.org/W2116299025' 'https://openalex.org/W2120682255'
 'https://openalex.org/W2125970110' 'https://openalex.org/W2127781587'
 'https://openalex.org/W2133211659' 'https://openalex.org/W2133932342'
 'https://openalex.org/W2134885830' 'https://openalex.org/W2135157736'
 'https://openalex.org/W2141117502' 'https://openalex.org/W2141767681'
 'https://openalex.org/W2142877686' 'https://openalex.org/W2143101325'
 'https://openalex.org/W2143579043' 'https://openalex.org/W2143778610'
 'https://openalex.org/W2144601618' 'https://openalex.org/W2147471614'
 'https://openalex.org/W2147617769' 'https://openalex.org/W2148071752'
 'https://openalex.org/W2154507211' 'https://openalex.org/W2154671002'
 'https://openalex.org/W2159328242' 'https://openalex.org/W2160756984'
 'https://openalex.org/W2164330553' 'https://openalex.org/W2164497609'
 'https://openalex.org/W2167284935' 'https://openalex.org/W2333196491'
 'https://openalex.org/W2335968944' 'https://openalex.org/W2972915009'
 'https://openalex.org/W3124926731' 'https://openalex.org/W3146425672'
 'https://openalex.org/W3179826736' 'https://openalex.org/W4240586794']",1,4,"analysis, approach, behavioral, cognitive, design, development, form, integration, management, model","design, process, problem, development, results, knowledge, patterns, paper"
jatsporganizational sensemaking is crucial to enterprise resource planning erp implementation this is because it enables the focal organization to gain an understanding of the unique contextual issues within and surrounding the organization and continuously monitor and reinterpret these issues so that the approach to erp implementation can be modified or realigned accordingly yet little attention has been paid to studying the nature and implications of this process using a case study of the erp implementation journey of shanghai tobacco corporation a chinese stateowned enterprise this paper explores the different ways in which organizational sensemaking can unfold in the context of erp implementation analyses of our data suggest that the process of organizational sensemaking is influenced by a sensemaking structure which consists of a technical structure ie the technical foundation for sensemaking and a social structure ie the behavioral norms and relational ties surrounding sensemaking the sensemaking structure in turn is influenced by the contextual conditions surrounding erp implementation with its findings this study contributes a process model of erp implementation from a sensemaking perspective to complement the existing research and provides indications to practice on the effective implementation of erp systemsjatsp,Organizational Sensemaking in ERP Implementation: The Influence of Sensemaking Structure,MIS Quarterly,2020.0,10.25300/misq/2020/11872,"[{'affiliation': array([], dtype=object), 'family': 'Tan', 'given': 'Barney', 'sequence': 'first'}
 {'affiliation': array([], dtype=object), 'family': 'Pan', 'given': 'Shan L.', 'sequence': 'additional'}
 {'affiliation': array([], dtype=object), 'family': 'Chen', 'given': 'Wenbo', 'sequence': 'additional'}
 {'affiliation': array([], dtype=object), 'family': 'Huang', 'given': 'Lihua', 'sequence': 'additional'}]",,1,1,"analysis, approach, behavioral, cognitive, design, development, form, integration, management, model","planning, organization, management, organizational, support, use, requirements, literature"
jatspat mis quarterly our commitment to supporting a wide range of scholarly contributions across theories methods topics and geographies is unwavering not only is it the right thing for the field it is fundamentally important for the advancement of science we believe that the quality and relevance of is research improve when we broaden the conditions under which scholars from diverse backgrounds regions and traditions can meaningfully contribute as a global journal we actively seek to foster inclusive scholarship work that reflects the diversity of our community and the complexity of the digital world it seeks to understandjatsp,Editor’s Comments,MIS Quarterly,2025.0,10.25300/misq/2025/492e0,"[{'affiliation': array([], dtype=object), 'family': 'Carter', 'given': 'Michelle', 'sequence': 'first'}
 {'affiliation': array([], dtype=object), 'family': 'Brown', 'given': 'Susan', 'sequence': 'additional'}]",,1,2,"analysis, approach, behavioral, cognitive, design, development, form, integration, management, model","analysis, new, technology, provide, integration, management, social, empirical"
jatspthis study investigates how “hashtag dance challenges” hdcs a phenomenon popularized on the shortvideo platform tiktok are instrumental in helping music artists gain traction in the digital music marketplace hdcs represent an appealing combination of music and dance designed to engage users and achieve virality thereby benefiting artists whose music is featured this research focuses on how hdcs contribute to the success of women artists as compared to men in an industry known for its diversity but challenged by gender inclusivity we apply role congruity theory to posit that women artists are in a better position to derive benefits from being featured on hdcs relative to male artists particularly in cases of gender concordance—when both the creator and the artist are women we measure the benefits of hdcs using daily changes in the artist’s followership on spotify a leading music streaming service and test our hypotheses using song and artistlevel data collected from spotify and tiktok we found that artists featured in a new hdc achieve a significant increase in followership on spotify relative to similar artists not featured in an hdc further we observed that women creators drive this effect enhancing the daily growth of spotify followers by approximately 3 more for women artists underscoring the value of gender concordance our findings shed light on the role of short videos especially through the vehicle of hdcs in advancing women artists while also promoting inclusivity within the digital music industryjatsp,Dancing to the #Challenge: The Effect of TikTok on Closing the Artist Gender Gap in the Music Industry,MIS Quarterly,2025.0,10.25300/misq/2024/18527,"[{'affiliation': array([], dtype=object), 'family': 'Wang', 'given': 'Yifei', 'sequence': 'first'}
 {'affiliation': array([], dtype=object), 'family': 'Ramaprasad', 'given': 'Jui', 'sequence': 'additional'}
 {'affiliation': array([], dtype=object), 'family': 'Gopal', 'given': 'Anandasivam', 'sequence': 'additional'}]",,1,5,"analysis, approach, behavioral, cognitive, design, development, form, integration, management, model","online, significant, model, integration, role, experiment, behavior, value"
human resource information systems hris have become a major mis subfunction within the personnel areas of many large corporations this article traces the development of hris as an entity independent of centralized mis assesses its current operation and technological base and considers its future role in the firm especially its relationship to the centralized mis function the results of a survey of hris professionals from 171 us corporations are described in order to provide an overview of the current design operations and effectiveness of hris the findings of the survey are discussed in terms of their implications for management of human resource information systems,Human Resource Information Systems: A Current Assessment,MIS Quarterly,1986.0,10.2307/248875,"[{'affiliation': array(['University of Minnesota'], dtype=object), 'family': 'DeSanctis', 'given': 'Gerardine', 'sequence': 'first'}]","['https://openalex.org/W1481628372' 'https://openalex.org/W2071395916'
 'https://openalex.org/W2335006107' 'https://openalex.org/W2399670413'
 'https://openalex.org/W605663483' 'https://openalex.org/W70568763']",0,-1,"mis, systems, information systems, literature, information, research, terms, based",
jatspit has been argued that the theory borrowing practices in is research have become workmanlike—appropriate and effective but lacking innovation this concern is particularly salient at a time when digital phenomena are profoundly transforming society therefore it is legitimate to ask are our theory borrowing practices hampering our ability to grapple with revolutionary developments in is and if so what can be done through an investigation of the field’s borrowing of transaction cost economics theory we find extant is research largely 1 borrows for theory testing within the is context 2 develops models that uninspiringly reflect the borrowed theory and 3 treats the is as an exogenous actor in this article we propose an alternative approach to theory borrowing inspired by conceptual blending theory our approach focuses on the structural nature of is phenomena and borrowed theories such a structurebased approach can reveal correspondence between is phenomena and unexpected reference theories while also highlighting discrepancies that serve as an opportunity for novel integrations of an information system into the reference theory we contend that this approach can infuse flexibility into our theory borrowing practices in ways that will increase our capacity for developing innovative explanations of emerging phenomenajatsp,Everything Old Can Be New Again: Reinvigorating Theory Borrowing for the Digital Age,MIS Quarterly,2022.0,10.25300/misq/2022/15364,"[{'affiliation': array([], dtype=object), 'family': 'Jiang', 'given': 'Dan', 'sequence': 'first'}
 {'affiliation': array([], dtype=object), 'family': 'Jiang', 'given': 'Lianlian', 'sequence': 'additional'}
 {'affiliation': array([], dtype=object), 'family': 'London', 'given': 'Jackie', 'sequence': 'additional'}
 {'affiliation': array([], dtype=object), 'family': 'Grover', 'given': 'Varun', 'sequence': 'additional'}
 {'affiliation': array([], dtype=object), 'family': 'Sun', 'given': 'Heshan', 'sequence': 'additional'}]",,1,0,"analysis, approach, behavioral, cognitive, design, development, form, integration, management, model","theory, approach, research, behavioral, using, time, data, patterns"
jatspnavigation structure and user familiarity are critical for user satisfaction yet the mediating mechanisms by which they affect satisfaction remain unclear especially from a cognitive perspective to extend understanding of the drivers of user satisfaction with a website this study focuses on the mediating roles of cognitive load and performance outcomes in the form of efficiency and accuracy according to a cognitive cost–benefit framework and cognitive load theory the hypotheses were tested with data from a field quasiexperiment among 238 participants using two websites the results indicated that cognitive load and performance outcomes fully mediated the effect of user familiarity on user satisfaction and that cognitive load partially mediated the impact of navigation structure in addition the mediating effect of cognitive load appeared stronger than that of performance outcomes overall the cognitive cost–benefit framework sheds light on the underlying influence processes and mechanisms by which navigation structure and user familiarity affect user satisfaction the findings reveal that costs might have more profound influences on user satisfaction in an informationseeking context than benefits dojatsp,Examining the Mediating Roles of Cognitive Load and Performance Outcomes in User Satisfaction with a Website: A Field Quasi-Experiment1,MIS Quarterly,2017.0,10.25300/misq/2017/41.3.14,"[{'affiliation': array([], dtype=object), 'family': 'Hu', 'given': 'Paul Jen‐Hwa', 'sequence': 'first'}
 {'affiliation': array([], dtype=object), 'family': 'Chen', 'given': 'Hsinchun', 'sequence': 'additional'}
 {'affiliation': array([], dtype=object), 'family': 'Fang', 'given': 'Xiao', 'sequence': 'additional'}]",,1,3,"analysis, approach, behavioral, cognitive, design, development, form, integration, management, model","cognitive, user, users, form, methods, key, studies, reveal"
information systems strategy is of central importance to is practice and research our extensive review of the literature suggests that the concept of is strategy is a term that is used readily however it is also a term that is not fully understood in this study we follow a perspective paradigm based on the strategic management literature to define is strategy as an organizational perspective on the investment in deployment use and management of is through a systematic literature search we identify the following three conceptions of is strategy employed implicitly in 48 articles published in leading is journals that focus on the construct of is strategy 1 is strategy as the use of is to support business strategy 2 is strategy as the master plan of the is function and 3 is strategy as the shared view of the is role within the organization we find the third conception best fits our definition of is strategy as such we consequently propose to operationalize is strategy as the degree to which the organization has a shared perspective to seek innovation through is specifically our proposed is strategic typology suggests an organizations is strategy falls into one of the two defined categories ie is innovator or is conservative or is simply undefined we also develop measures for this new typology we argue that the proposed instrument which was crossvalidated across both chief information officers and senior business executives has the potential to serve as a diagnostic tool through which the organization can directly assess its is strategy we contend that our reconceptualization and operationalization of is strategy provides theoretical and practical implications that advance the current level of understanding of is strategy from extant studies within three predominant literature streams strategic is planning isbusiness strategic alignment and competitive use of is,"Information Systems Strategy: Reconceptualization, Measurement, and Implications",MIS Quarterly,2010.0,10.2307/20721426,"[{'affiliation': array(['Texas Christian University'], dtype=object), 'family': 'Chen', 'given': 'Daniel', 'sequence': 'first'}
 {'affiliation': array(['Erasmus University Rotterdam'], dtype=object), 'family': 'Mocker', 'given': '', 'sequence': 'additional'}
 {'affiliation': array(['Texas Christian University'], dtype=object), 'family': 'Preston', 'given': '', 'sequence': 'additional'}
 {'affiliation': array(['University of Münster'], dtype=object), 'family': 'Teubner', 'given': '', 'sequence': 'additional'}]","['https://openalex.org/W1004584821' 'https://openalex.org/W107420442'
 'https://openalex.org/W111523036' 'https://openalex.org/W126513118'
 'https://openalex.org/W127773777' 'https://openalex.org/W145235907'
 'https://openalex.org/W146287093' 'https://openalex.org/W1485916023'
 'https://openalex.org/W1487531252' 'https://openalex.org/W1489507989'
 'https://openalex.org/W1497749696' 'https://openalex.org/W1504129344'
 'https://openalex.org/W1507862428' 'https://openalex.org/W1509487433'
 'https://openalex.org/W1517716123' 'https://openalex.org/W1520343786'
 'https://openalex.org/W1520564125' 'https://openalex.org/W1524237663'
 'https://openalex.org/W1528830218' 'https://openalex.org/W1529650392'
 'https://openalex.org/W1531195798' 'https://openalex.org/W1541484978'
 'https://openalex.org/W1557894874' 'https://openalex.org/W1560767963'
 'https://openalex.org/W1564257323' 'https://openalex.org/W1576605681'
 'https://openalex.org/W1578561991' 'https://openalex.org/W1580117914'
 'https://openalex.org/W1580996832' 'https://openalex.org/W1584564756'
 'https://openalex.org/W1586245107' 'https://openalex.org/W1587127932'
 'https://openalex.org/W1593169143' 'https://openalex.org/W1593885540'
 'https://openalex.org/W1598938328' 'https://openalex.org/W1601562930'
 'https://openalex.org/W1603504818' 'https://openalex.org/W1607064575'
 'https://openalex.org/W1721956270' 'https://openalex.org/W176735245'
 'https://openalex.org/W1788647087' 'https://openalex.org/W1854257937'
 'https://openalex.org/W1855283887' 'https://openalex.org/W195189697'
 'https://openalex.org/W1964831167' 'https://openalex.org/W1968725802'
 'https://openalex.org/W1970044758' 'https://openalex.org/W1970234529'
 'https://openalex.org/W1970378145' 'https://openalex.org/W1971711030'
 'https://openalex.org/W1972089244' 'https://openalex.org/W1972095079'
 'https://openalex.org/W1975258263' 'https://openalex.org/W1975305422'
 'https://openalex.org/W1979829091' 'https://openalex.org/W1983239591'
 'https://openalex.org/W1985972261' 'https://openalex.org/W1986225750'
 'https://openalex.org/W1987006879' 'https://openalex.org/W1989538307'
 'https://openalex.org/W1990126808' 'https://openalex.org/W1992547319'
 'https://openalex.org/W1992572832' 'https://openalex.org/W1993023795'
 'https://openalex.org/W1993779755' 'https://openalex.org/W1996123186'
 'https://openalex.org/W1997199923' 'https://openalex.org/W1997956274'
 'https://openalex.org/W1999414233' 'https://openalex.org/W2000089117'
 'https://openalex.org/W2002814464' 'https://openalex.org/W2003634269'
 'https://openalex.org/W2006120904' 'https://openalex.org/W2006790038'
 'https://openalex.org/W2009078406' 'https://openalex.org/W2011526406'
 'https://openalex.org/W2013201564' 'https://openalex.org/W2013593749'
 'https://openalex.org/W2014172587' 'https://openalex.org/W2017300125'
 'https://openalex.org/W2019597409' 'https://openalex.org/W2024807124'
 'https://openalex.org/W2026089893' 'https://openalex.org/W2028424293'
 'https://openalex.org/W2029649841' 'https://openalex.org/W2029705991'
 'https://openalex.org/W2032381083' 'https://openalex.org/W2032382473'
 'https://openalex.org/W2037349464' 'https://openalex.org/W2038483117'
 'https://openalex.org/W2038631200' 'https://openalex.org/W2039987297'
 'https://openalex.org/W2040402811' 'https://openalex.org/W2042425292'
 'https://openalex.org/W2044052813' 'https://openalex.org/W2044751825'
 'https://openalex.org/W2046665443' 'https://openalex.org/W2047389876'
 'https://openalex.org/W2048571377' 'https://openalex.org/W2050698050'
 'https://openalex.org/W2053043160' 'https://openalex.org/W2053319398'
 'https://openalex.org/W2055350214' 'https://openalex.org/W2056037271'
 'https://openalex.org/W2059041575' 'https://openalex.org/W2061977616'
 'https://openalex.org/W2066735286' 'https://openalex.org/W2067429977'
 'https://openalex.org/W2069086194' 'https://openalex.org/W2069281806'
 'https://openalex.org/W2072048234' 'https://openalex.org/W2073990443'
 'https://openalex.org/W2076064460' 'https://openalex.org/W2079879312'
 'https://openalex.org/W2080317642' 'https://openalex.org/W2080647889'
 'https://openalex.org/W2081922765' 'https://openalex.org/W2082443018'
 'https://openalex.org/W2086743266' 'https://openalex.org/W2087792459'
 'https://openalex.org/W2087828355' 'https://openalex.org/W2090953126'
 'https://openalex.org/W2093362879' 'https://openalex.org/W2094066712'
 'https://openalex.org/W2094914926' 'https://openalex.org/W2095306008'
 'https://openalex.org/W2098988240' 'https://openalex.org/W2099641816'
 'https://openalex.org/W2100807224' 'https://openalex.org/W2107604945'
 'https://openalex.org/W2108114881' 'https://openalex.org/W2108752510'
 'https://openalex.org/W2111628838' 'https://openalex.org/W2114483607'
 'https://openalex.org/W2115671451' 'https://openalex.org/W2117296855'
 'https://openalex.org/W2118769275' 'https://openalex.org/W2121711859'
 'https://openalex.org/W2123601949' 'https://openalex.org/W2126186544'
 'https://openalex.org/W2128376701' 'https://openalex.org/W2128500420'
 'https://openalex.org/W2130019381' 'https://openalex.org/W2133673476'
 'https://openalex.org/W2137339664' 'https://openalex.org/W2139797712'
 'https://openalex.org/W2139955886' 'https://openalex.org/W2141898774'
 'https://openalex.org/W2141928013' 'https://openalex.org/W2144526633'
 'https://openalex.org/W2144859234' 'https://openalex.org/W2148140182'
 'https://openalex.org/W2149207433' 'https://openalex.org/W2154108459'
 'https://openalex.org/W2157456611' 'https://openalex.org/W2160804203'
 'https://openalex.org/W2161298421' 'https://openalex.org/W2163883525'
 'https://openalex.org/W2164284962' 'https://openalex.org/W2166292813'
 'https://openalex.org/W2169855821' 'https://openalex.org/W2170531048'
 'https://openalex.org/W2171272451' 'https://openalex.org/W2188739938'
 'https://openalex.org/W2255520571' 'https://openalex.org/W2318231870'
 'https://openalex.org/W2325245228' 'https://openalex.org/W2326787527'
 'https://openalex.org/W2399782495' 'https://openalex.org/W24914594'
 'https://openalex.org/W2517191172' 'https://openalex.org/W259121009'
 'https://openalex.org/W263467058' 'https://openalex.org/W2918053899'
 'https://openalex.org/W2970657937' 'https://openalex.org/W2992892313'
 'https://openalex.org/W2996762106' 'https://openalex.org/W309246951'
 'https://openalex.org/W3121972596' 'https://openalex.org/W3123165113'
 'https://openalex.org/W3123792613' 'https://openalex.org/W3125572598'
 'https://openalex.org/W327362466' 'https://openalex.org/W4250940244'
 'https://openalex.org/W47594971' 'https://openalex.org/W64107909'
 'https://openalex.org/W651827825' 'https://openalex.org/W654384793'
 'https://openalex.org/W67087595' 'https://openalex.org/W67342506'
 'https://openalex.org/W74452740' 'https://openalex.org/W76341533'
 'https://openalex.org/W77666782' 'https://openalex.org/W95201837']",1,1,"analysis, approach, behavioral, cognitive, design, development, form, integration, management, model","planning, organization, management, organizational, support, use, requirements, literature"
focusing on a managers goals and critical success factors has been advocated as an approach to defining senior and middle managers information requirements in this article a field study is described in which the planning processes in a corporation were used as a mechanism for identifying goals critical success factors and performance measures and standards ie information requirements for managerial control a general approach generated from the field study is described and the advantages and disadvantages of the approach are analyzed,"Planning, Critical Success Factors, and Management's Information Requirements",MIS Quarterly,1980.0,10.2307/248958,"[{'affiliation': array([], dtype=object), 'family': 'Munro', 'given': 'Malcolm C.', 'sequence': 'first'}
 {'affiliation': array([], dtype=object), 'family': 'Wheeler', 'given': 'Basil R.', 'sequence': 'additional'}]","['https://openalex.org/W1481592037' 'https://openalex.org/W1509860175'
 'https://openalex.org/W1529975861' 'https://openalex.org/W1564930140'
 'https://openalex.org/W1569447401' 'https://openalex.org/W1584215834'
 'https://openalex.org/W2031247304' 'https://openalex.org/W2055079566'
 'https://openalex.org/W2119663117' 'https://openalex.org/W2126620275'
 'https://openalex.org/W2147797012' 'https://openalex.org/W2316906616'
 'https://openalex.org/W52319684']",2,-1,"managers, information, requirements, approach, systems, field, information systems, critical",
