cluster,size,Computer science,Business,Knowledge management,Engineering,Political science,Economics,Marketing,Psychology,Law,Philosophy,Operating system,Artificial intelligence,Information system,Epistemology,Sociology,Mathematics,World Wide Web,Process management,Biology,Electrical engineering,Programming language,Data science,Social psychology,Finance,Industrial organization,Management science,Process (computing),Context (archaeology),Microeconomics,Paleontology,Computer security,Public relations,Machine learning,Information technology,Physics,Strategic information system,Social science,Management,Soft Systems Methodology,Linguistics,Mechanical engineering,Internet privacy,Neuroscience,Software,Perspective (graphical),Human–computer interaction,Geometry,The Internet,Politics,Quality (philosophy),Quantum mechanics,Advertising,Pure mathematics,Chemistry,Work (physics),Statistics,Social media,Empirical Research,Empirical research,Systems engineering,Software engineering,Service (business),Medicine,Field (mathematics),Value (mathematics),Product (mathematics),Ecology,Set (abstract data type),Telecommunications,Risk analysis (engineering),Engineering management,Database,Economic growth,Operations management,Mathematical analysis,Archaeology,Data mining,Computer network,Geography,Accounting,Task (project management),Cognitive psychology,Engineering ethics,Perception,Art,Anthropology,Order (exchange),Biochemistry,Econometrics,Evolutionary biology,Outsourcing,Operations research,Market economy,Control (management),Key (lock),Incentive,Communication,Cognition,Corporate governance,Macroeconomics
12.1,175,153,129,98,46,99,87,55,50,85,50,40,27,43,38,40,12,18,31,37,23,13,22,18,20,10,13,14,25,18,22,16,49,19,22,17,22,24,14,22,15,8,18,7,2,11,2,2,0,9,22,9,1,7,4,7,0,6,3,3,1,4,23,58,7,11,0,12,2,9,7,8,3,70,8,2,8,2,6,6,3,2,2,3,3,4,4,3,2,4,2,0,4,3,7,3,11,7,2,3,4
14.2,57,56,50,50,30,16,12,24,3,13,13,21,6,22,9,9,4,0,48,16,20,12,2,1,16,9,5,17,13,3,12,2,3,3,5,7,15,3,8,13,5,4,0,1,4,4,1,2,0,1,1,6,0,0,5,4,1,0,3,3,4,10,1,1,0,1,1,1,0,0,3,6,0,1,6,0,3,0,15,2,1,2,0,0,1,3,1,6,2,0,3,0,1,0,0,2,1,0,0,1,1
2.0,32,28,17,11,1,5,6,12,14,4,7,5,15,1,4,9,2,17,0,1,1,5,11,8,1,0,0,1,3,3,1,4,2,3,0,4,0,3,2,1,3,0,4,3,0,1,10,0,2,0,2,4,5,0,1,0,0,6,0,0,0,2,7,3,0,0,0,0,3,0,1,0,1,0,0,2,5,3,0,2,0,1,2,0,3,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0
2.5,248,244,126,90,57,66,46,49,81,56,54,33,99,28,36,36,45,49,15,46,19,42,96,44,16,4,19,16,31,15,31,90,20,39,6,24,15,10,11,10,19,13,103,17,2,19,6,6,17,4,7,12,10,15,7,9,11,12,9,9,1,4,10,16,13,14,3,6,16,6,7,1,13,6,2,9,3,43,4,1,5,2,6,7,12,5,5,6,3,4,7,0,3,6,12,7,4,11,7,1,2
2.7,273,256,171,73,36,131,54,24,134,110,43,49,65,23,30,21,26,55,10,58,6,20,25,105,36,10,6,8,39,11,39,194,62,18,9,31,2,7,26,1,15,12,82,28,6,22,7,5,37,9,0,17,2,9,9,10,8,1,11,11,3,5,4,12,9,5,3,7,8,8,26,1,8,4,1,2,3,3,6,4,20,5,14,2,16,1,3,8,7,0,6,3,2,1,20,11,4,9,9,6,2
2.8,184,158,70,31,28,91,32,10,81,73,35,16,68,9,19,38,20,72,12,21,9,13,47,51,10,1,7,10,12,2,8,28,36,36,3,30,3,5,14,5,15,2,51,10,0,8,14,1,10,24,1,11,24,4,9,2,5,78,4,4,3,1,4,36,3,1,1,4,7,7,12,3,3,10,5,9,7,19,6,11,2,6,10,0,6,7,6,3,4,4,3,0,3,0,4,4,0,8,4,3,2
3.1,626,582,311,406,231,111,109,163,391,91,146,154,150,134,113,91,127,109,77,149,120,103,75,220,33,21,34,43,101,17,108,26,33,84,87,70,24,45,37,19,37,54,35,88,18,50,149,21,33,11,38,28,14,45,39,49,52,11,68,68,24,13,51,33,39,12,12,19,23,29,8,11,18,16,21,19,15,16,4,23,20,42,54,1,41,22,23,15,17,19,19,1,1,11,27,6,4,29,33,1,14
3.9,80,51,51,38,31,35,43,23,58,24,17,11,10,9,11,22,13,2,2,8,6,8,0,41,8,2,3,3,5,5,6,2,22,7,11,7,0,8,28,1,7,23,0,9,2,7,1,1,0,6,1,4,0,5,6,23,3,0,7,7,0,0,1,6,5,2,0,0,3,0,0,1,3,9,7,4,2,0,2,3,1,5,1,1,8,0,5,2,1,2,1,0,0,2,0,2,3,2,0,3,0
4.2,661,595,106,252,317,307,149,12,171,273,327,101,168,221,310,332,191,32,29,84,100,110,241,44,34,3,231,66,53,6,51,23,70,53,18,86,59,123,24,63,50,49,4,16,3,51,28,23,3,48,28,54,1,103,33,35,57,3,29,29,21,17,2,32,102,29,9,13,38,10,7,10,10,7,13,23,30,13,10,15,8,6,11,121,1,23,32,23,24,34,9,1,26,13,0,13,0,7,8,5,11
4.7,36,33,13,22,28,23,4,0,17,23,16,7,8,14,15,21,8,4,4,5,4,7,1,11,2,0,12,4,4,2,4,2,5,4,1,3,4,5,0,5,1,5,3,2,3,2,0,1,3,0,1,2,0,6,2,5,1,0,2,2,2,0,0,0,6,3,0,0,3,0,4,1,0,0,2,2,0,0,0,0,0,1,0,24,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0
5.1,45,36,38,13,9,15,14,19,3,14,7,10,5,6,3,7,6,7,5,8,5,6,4,3,19,12,1,2,6,4,6,23,3,4,3,5,3,3,3,2,4,4,2,1,1,1,0,3,6,5,1,4,2,2,2,3,0,1,0,0,0,3,2,1,2,3,1,2,1,5,1,1,4,4,0,1,3,0,1,0,4,0,1,1,1,3,0,1,1,1,0,1,0,3,1,0,3,1,0,5,0
5.6,517,449,286,301,171,281,148,98,72,232,199,126,113,104,132,264,63,146,79,125,47,64,90,21,70,43,38,66,63,6,45,31,147,31,63,76,53,93,30,47,83,44,18,10,2,53,29,20,28,68,4,47,5,23,52,41,7,12,14,14,9,6,20,10,19,22,13,59,13,41,1,6,9,55,6,11,40,3,13,48,3,4,10,35,5,30,41,14,48,2,17,5,0,14,10,12,0,7,2,26,11
5.8,42,38,34,22,11,7,8,12,5,5,6,13,10,2,4,6,8,5,9,22,2,10,10,4,6,13,0,2,3,3,3,3,2,5,2,6,1,2,2,1,2,1,1,2,8,2,0,4,1,3,1,3,0,0,3,1,1,1,1,1,1,5,1,1,0,5,3,19,2,2,0,1,1,0,1,3,2,0,1,4,1,0,0,0,1,4,2,0,2,0,0,0,0,1,2,1,1,0,0,6,2
5.9,22,22,18,19,12,3,7,16,0,2,3,10,9,6,2,4,3,3,10,3,6,0,8,0,0,0,4,2,3,1,2,3,1,6,4,3,3,3,2,3,0,1,0,0,0,5,3,1,0,1,0,2,0,0,0,1,0,0,0,0,3,2,12,1,0,6,1,0,0,0,2,2,1,2,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
6.1,70,58,33,28,15,31,32,14,29,27,21,11,12,0,21,15,13,41,2,11,0,11,23,22,4,2,0,9,5,23,5,6,9,6,0,7,0,8,9,0,0,10,8,1,1,3,5,2,1,3,14,5,2,4,2,10,4,5,3,3,2,2,0,2,4,2,1,4,4,0,0,0,0,6,0,3,0,0,2,1,3,9,6,1,1,1,4,0,1,2,0,2,1,2,1,1,17,3,0,0,0
6.3,543,521,264,412,143,199,94,93,245,130,142,102,113,38,115,155,83,199,50,105,32,101,81,150,50,18,14,43,63,26,55,34,109,48,21,59,17,67,40,18,36,48,32,54,67,42,61,16,50,28,42,35,10,22,30,46,18,91,32,32,22,17,9,19,21,24,7,7,23,23,4,7,9,14,11,19,26,9,13,20,8,36,14,2,33,16,20,11,13,2,24,2,0,5,8,14,11,32,17,10,8
7.1,22,22,13,17,11,8,3,2,8,5,8,5,3,8,4,3,6,1,10,7,6,6,0,2,1,0,2,4,5,0,6,2,5,3,0,4,4,1,0,4,5,0,1,0,4,0,8,0,0,0,2,2,0,3,0,0,1,0,1,1,3,1,1,1,3,1,0,1,0,1,1,2,0,0,2,2,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,0,1
7.3,536,526,306,354,395,99,91,60,105,82,108,183,118,195,78,62,110,25,280,90,183,227,60,48,65,4,101,122,54,8,60,43,24,15,36,58,79,30,53,85,29,36,0,28,206,38,11,22,3,10,25,36,2,22,22,15,24,0,23,23,149,171,7,17,20,6,11,5,32,12,95,83,9,2,45,40,15,9,5,10,12,25,11,11,12,11,16,14,16,4,17,5,17,5,39,17,2,4,12,4,18
8.2,467,403,421,266,124,153,274,240,58,137,87,177,80,83,65,43,76,23,113,103,68,70,27,19,164,214,29,49,45,119,52,29,31,131,136,46,39,26,71,23,26,25,1,18,22,37,4,30,8,75,8,27,3,13,28,13,27,1,33,33,1,9,32,7,6,102,17,22,22,17,31,5,9,30,6,3,14,10,42,10,38,0,1,6,4,10,7,12,14,47,25,9,16,14,7,9,12,9,5,55,36
9.4,194,174,178,97,63,43,80,130,6,39,39,61,14,42,23,27,24,69,50,36,39,28,9,4,72,114,6,18,16,41,19,30,5,17,32,13,33,9,18,17,17,9,0,1,3,7,0,10,45,12,4,5,1,5,10,4,5,0,13,13,4,1,15,2,3,10,8,10,6,20,10,8,21,2,9,6,4,1,7,0,7,1,1,3,0,5,9,23,8,0,4,1,8,5,2,16,10,3,0,8,6
9.5,220,190,217,116,71,53,117,200,18,44,55,73,35,48,46,28,17,4,69,58,43,35,2,7,96,115,7,26,34,65,35,17,17,21,51,16,34,18,31,21,11,14,2,7,13,16,0,3,2,4,12,11,0,5,11,14,6,0,22,22,2,0,30,2,2,10,3,2,10,8,19,12,11,4,15,3,7,0,6,4,3,6,2,0,6,4,6,4,6,6,14,176,7,15,5,2,27,2,0,36,7
