cluster,size,Computer science,Business,Knowledge management,Engineering,Political science,Economics,Marketing,Psychology,Law,Philosophy,Operating system,Artificial intelligence,Information system,Epistemology,Sociology,Mathematics,World Wide Web,Process management,Biology,Electrical engineering,Programming language,Data science,Social psychology,Finance,Industrial organization,Management science,Process (computing),Context (archaeology),Microeconomics,Paleontology,Computer security,Public relations,Machine learning,Information technology,Physics,Strategic information system,Social science,Management,Soft Systems Methodology,Linguistics,Mechanical engineering,Internet privacy,Neuroscience,Software,Perspective (graphical),Human–computer interaction,Geometry,The Internet,Politics,Quality (philosophy),Quantum mechanics,Advertising,Pure mathematics,Chemistry,Work (physics),Statistics,Social media,Empirical Research,Empirical research,Systems engineering,Software engineering,Service (business),Medicine,Field (mathematics),Value (mathematics),Product (mathematics),Ecology,Set (abstract data type),Telecommunications,Risk analysis (engineering),Engineering management,Database,Economic growth,Operations management,Mathematical analysis,Archaeology,Data mining,Computer network,Geography,Accounting,Task (project management),Cognitive psychology,Engineering ethics,Perception,Art,Anthropology,Order (exchange),Biochemistry,Econometrics,Evolutionary biology,Outsourcing,Operations research,Market economy,Control (management),Key (lock),Incentive,Communication,Cognition,Corporate governance,Macroeconomics
3.1.7.1,99,98,63,86,60,11,13,35,32,9,30,31,8,54,28,10,23,19,34,14,49,16,16,5,4,0,7,6,8,0,9,2,3,14,7,8,11,6,5,6,2,3,0,8,8,2,26,4,4,0,22,4,0,10,8,3,11,1,11,11,0,1,23,4,9,2,1,0,3,1,3,9,2,1,9,5,2,6,0,3,3,2,1,0,6,1,4,1,0,3,3,0,1,1,2,1,0,4,1,0,5
4.2.0.1,559,496,94,230,279,286,134,12,150,256,310,89,147,201,296,317,155,25,28,78,89,94,205,40,34,3,212,62,49,6,46,17,66,36,13,76,53,118,22,58,48,45,4,13,3,49,25,20,3,47,23,48,1,97,28,32,27,3,25,25,17,16,2,25,96,28,8,13,35,10,4,10,8,7,12,18,30,6,9,13,6,5,10,113,1,23,32,23,21,6,7,1,17,13,0,7,0,7,6,5,10
4.2.0.4,38,38,3,1,9,12,2,0,1,8,4,2,0,6,4,4,0,6,0,1,1,0,17,0,0,0,2,0,0,0,0,6,3,2,1,1,3,0,2,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,5,0,0,6,0,0,0,0,0
4.7.0.1,32,29,10,20,27,21,3,0,17,21,14,6,7,12,14,18,8,3,4,4,4,5,0,11,1,0,11,4,4,2,4,1,4,4,1,2,4,3,0,5,0,5,3,2,2,2,0,1,2,0,1,2,0,6,2,5,1,0,2,2,2,0,0,0,6,3,0,0,2,0,3,1,0,0,2,2,0,0,0,0,0,1,0,24,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
5.6.4.1,483,418,265,277,156,263,133,89,64,218,189,115,110,96,126,252,57,141,68,103,41,59,86,19,68,42,34,59,55,6,38,30,139,31,60,69,51,89,27,45,80,40,17,7,2,51,26,18,28,65,4,40,5,23,50,37,7,9,14,14,7,4,20,10,19,22,11,44,12,40,1,6,6,53,6,8,37,3,12,42,3,3,10,34,4,27,39,12,46,2,14,5,0,13,10,12,0,7,2,26,11
6.10.0.1,49,40,24,17,5,24,23,11,22,21,15,9,10,0,15,7,9,30,1,7,0,10,15,17,4,1,0,8,2,18,2,6,4,4,0,4,0,4,6,0,0,1,7,0,1,1,3,2,1,2,12,3,1,2,1,1,3,4,2,2,1,1,0,2,2,1,1,4,4,0,0,0,0,3,0,2,0,0,2,1,3,6,4,0,0,0,2,0,1,1,0,2,1,2,0,1,15,3,0,0,0
6.3.3.1,353,339,190,278,84,136,60,76,138,88,96,74,58,26,77,97,56,145,28,61,22,76,64,89,38,14,9,28,34,19,28,27,80,34,17,41,13,40,20,11,28,24,20,21,64,19,18,7,30,23,31,25,4,14,17,22,14,64,24,24,7,15,7,10,13,17,5,6,20,13,4,5,8,8,5,11,17,9,8,13,3,13,6,1,10,12,11,10,10,2,15,1,0,5,2,9,9,20,8,6,5
6.3.3.2,97,94,35,90,39,34,19,4,61,25,18,17,25,5,14,25,16,14,15,21,4,13,6,37,8,3,4,11,12,2,11,2,12,5,3,7,2,18,14,3,3,17,1,23,2,10,14,7,5,4,3,6,0,4,9,17,1,4,3,3,11,1,0,3,4,2,1,1,1,3,0,2,1,3,5,6,5,0,4,4,1,16,4,0,15,1,3,1,1,0,5,0,0,0,2,2,0,2,7,3,1
6.3.3.4,32,32,10,15,5,5,0,5,13,4,9,5,12,2,7,11,2,10,1,9,2,3,6,8,0,0,0,1,6,0,6,3,1,4,0,5,0,3,0,2,1,1,4,2,0,6,26,1,6,0,0,2,3,1,2,1,0,2,2,2,1,0,0,3,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,2,2,1,0,1,0,2,0,0,0,0,2,0,0,0,0,0
6.3.6.1,25,25,14,16,8,7,4,3,18,3,11,4,9,3,10,8,5,9,4,4,2,4,0,7,0,0,0,1,2,1,3,0,4,1,1,3,1,2,2,1,2,1,2,6,0,3,2,1,3,1,6,2,1,0,1,1,3,4,1,1,3,0,0,1,0,0,0,0,1,6,0,0,0,1,1,1,0,0,1,0,1,5,2,0,5,1,2,0,1,0,1,1,0,0,1,0,1,5,1,0,0
7.3.0.1,484,475,285,322,367,88,83,51,95,72,91,162,108,186,64,55,92,23,255,84,175,188,55,46,63,4,95,102,48,7,55,39,22,14,36,53,78,27,50,84,26,34,0,23,172,35,9,18,3,7,20,35,2,20,21,14,18,0,19,19,143,151,5,15,18,6,9,5,24,12,92,80,9,1,44,34,12,8,4,9,12,23,9,11,11,9,14,13,15,4,16,5,16,5,39,16,2,4,8,4,18
8.2.3.1,453,390,407,255,123,148,269,233,55,133,83,168,78,81,64,39,74,23,109,101,67,68,26,17,160,210,29,44,44,118,51,29,29,128,131,46,39,23,69,23,24,25,0,17,21,35,4,28,8,73,8,27,3,13,27,13,27,1,33,33,1,9,27,6,6,100,15,22,22,17,30,5,6,30,6,3,14,10,40,9,38,0,1,6,4,10,7,12,13,47,24,9,16,14,6,9,11,9,4,54,35
9.5.1.1,217,187,214,113,70,53,114,199,18,44,55,71,35,47,46,27,17,4,67,57,42,34,2,7,95,114,6,24,33,62,34,16,17,21,51,15,34,17,31,21,11,14,2,7,13,16,0,3,2,4,12,11,0,5,11,14,6,0,22,22,2,0,30,2,2,10,3,2,9,8,18,12,10,4,14,3,6,0,6,4,3,6,2,0,6,4,6,4,6,6,14,175,6,15,5,2,25,2,0,36,7
